País,Provincia,Región/Zona,Localidad/Barrio,Nombre del Emprendimiento,Instagram,Sitio Web / Contacto,Linktr,Google Maps,Telefono,Notas extra,Tipo Principal,Tipos Secundarios,Modalidad,Calidad / Producción,Productos,⚠️ Revisar,Certificaciones / Asociaciones
Argentina,Ciudad Autónoma de Buenos Aires,,,Las Chapas Ecoagro,https://www.instagram.com/laschapas_ecoagro/?hl=es-la,,,,11 4148-8880,,Productor,Abastecedor,Solo Entrega,"Sin agroquímicos, Sustentable","Verduras, Frutas",,
Argentina,Ciudad Autónoma de Buenos Aires,,,Mapo Orgánicos,https://www.instagram.com/mapo_organicos/,,https://linktr.ee/Mapo.organicos,,,,Abastecedor,Productor,Solo Entrega,"Sin agroquímicos, Orgánico","Verduras, Frutas, Elaborados",,
Argentina,Ciudad Autónoma de Buenos Aires,,,Más Cerca es Más Justo,https://www.instagram.com/mascercaesmasjusto/,,https://linktr.ee/mascercamasjusto,,,,Abastecedor,,Solo Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Ciudad Autónoma de Buenos Aires,,,Medio Campo Orgánico,https://www.instagram.com/mediocampo.organico/,,,,,,Abastecedor,,Solo Entrega,"Sin agroquímicos, Agroecológico, Orgánico","Verduras, Frutas, Elaborados",,
Argentina,Ciudad Autónoma de Buenos Aires,,,Mercado Bonpland,https://instagram.com/mercado.bonpland,,,,,Espacio de comercialización de la Economía Solidaria,Abastecedor,,Solo Retiro,"Sin agroquímicos, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Ciudad Autónoma de Buenos Aires,,,Mercado Punto Verde,https://www.instagram.com/mercadopuntoverde/,,,,,,Abastecedor,,Solo Retiro,"Sin agroquímicos, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Ciudad Autónoma de Buenos Aires,,,Mercado Territorial,https://www.instagram.com/mercado.territorial/?hl=en,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Ciudad Autónoma de Buenos Aires,,,Mercado Transformador,https://www.instagram.com/mercadotransformador/?hl=es-la,,,,,,Abastecedor,,Solo Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Ciudad Autónoma de Buenos Aires,,,Punto Orgánico,https://www.instagram.com/punto.organico/,,,,,,Abastecedor,,Solo Entrega,"Sin agroquímicos, Orgánico","Verduras, Frutas, Elaborados",,
Argentina,Ciudad Autónoma de Buenos Aires,,,Sanas Costumbres,https://www.instagram.com/sanas_costumbres/,,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Elaborados, Verduras, Frutas",,
Argentina,Ciudad Autónoma de Buenos Aires,,,Semilleros de Estrellas,https://www.instagram.com/semillerodeestrellas_/,,,,,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",⚠️ Semilleros,
Argentina,Ciudad Autónoma de Buenos Aires,,,Sinergía Ecoalmacen,https://www.instagram.com/sinergia.ecoalmacen/?hl=es-la,,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Elaborados, Verduras, Frutas",,
Argentina,Ciudad Autónoma de Buenos Aires,,,Somos Nueva Tierra,https://www.instagram.com/somosnuevatierra/?hl=es-la,,,,,,Abastecedor,Productor,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Ciudad Autónoma de Buenos Aires,,,Sumak Coooperativa de Consumo,https://www.instagram.com/sumakalmacencooperativo/,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Ciudad Autónoma de Buenos Aires,,,Tallo Verde,https://www.instagram.com/talloverde.organico,https://www.talloverde.com/,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Ciudad Autónoma de Buenos Aires,,,Tierra Orgánica,https://www.instagram.com/tierraorganicaarg/,,https://linktr.ee/tierraorganicaarg,,,,Abastecedor,Productor,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Orgánico","Verduras, Frutas, Elaborados",,
Argentina,Chaco,,Resistencia,Cultivarte Orgánico,https://www.instagram.com/cultivarte_organico/,,,,,,Abastecedor,Productor,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Orgánico","Verduras, Frutas, Elaborados",,
Argentina,Chubut,,"Rawson, Gaiman, Trelew, Playa Unión, Puerto Madryn",Alimentos con el Alma,https://www.instagram.com/alimentos_con_alma/,,https://linktr.ee/AlimentosconAlma,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Elaborados, Verduras, Frutas",,
Argentina,Córdoba,,Amboy,Mercado de la Tierra Amboy,https://www.instagram.com/mercadodelatierra.amboy/?hl=es-la,,,,,,Abastecedor,,Solo Retiro,"Sin agroquímicos, Agroecológico","Verduras, Frutas, Elaborados",,
Argentina,Córdoba,,Arguello,Yuyupa Córdoba,https://www.instagram.com/yuyupa_cordoba/?hl=es-la,,https://linktr.ee/yuyupacordoba,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Elaborados, Verduras, Frutas",,
Argentina,Córdoba,,Arroyito,Bioterra Orgánicos,https://www.instagram.com/bioterra.organicos/,,,,3576 65-1776,,Productor,Abastecedor,Retiro y Entrega,"Sin agroquímicos, Orgánico","Verduras, Frutas, Elaborados",,
Argentina,Córdoba,,Córdoba Capital,Feria Agroecológica CBA,https://www.instagram.com/feriaagroecologicacba/,,,,,,Abastecedor,,Solo Retiro,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Córdoba,,Córdoba Capital,Gratiam Orgánicos,https://www.instagram.com/organicos_gratiam/?hl=es,,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Orgánico","Elaborados, Verduras, Frutas",,
Argentina,Córdoba,,Córdoba Capital,Orgánicos de mi tierra,https://www.instagram.com/Organicosdemitierra/,,,Rafael Núñez 5824 / Ayacucho 486 / Urquiza 2501,0351 515-9199,,Abastecedor,Productor,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Orgánico","Verduras, Frutas, Elaborados",,
Argentina,Córdoba,,Córdoba,Y otras yerbas,https://www.instagram.com/_y_otras_yerbas_/?hl=es-la,,,,351 701-2770,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Elaborados, Verduras, Frutas",,
Argentina,Córdoba,,Córdoba Capital - Bario Alta Córdoba,Paisano Almacen,https://www.instagram.com/paisanoalmacen/?hl=es-la,,,,3513165968,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Córdoba,,Córdoba Capital - Barrio Güemes,Ramona mercado autogestivo,https://www.instagram.com/ramonamercadoautogestivo/?hl=es-la,,,,,"Dietética, no vi bolsón",Abastecedor,,Solo Retiro,Sin agroquímicos,"Elaborados, Verduras",,
Argentina,Córdoba,,Embalse de Calambuchita,Wahe Guru Sustentable,https://www.instagram.com/waheguru.sustentable/,,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Elaborados, Verduras, Frutas",,
Argentina,Córdoba,,"Los Reartes, Valle de Calmbuchita",Destino Verdes,https://www.instagram.com/destinoverdes/,,,,,,Productor,Abastecedor,Retiro y Entrega,"Sin agroquímicos, Sustentable","Verduras, Frutas",,
Argentina,Córdoba,,"Nono, Traslsierra",Reina Mora,https://www.instagram.com/reina.mora.natural/,,,,,,Productor,Abastecedor,Retiro y Entrega,Sin agroquímicos,"Elaborados, Verduras, Frutas",,
Argentina,Córdoba,,Potrero de Garay,Valle Sagrado Chacra Agroecológica,https://www.instagram.com/vallesagrado_chacragroecologic/?hl=es-la,,,,,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas",,
Argentina,Córdoba,,"Río Segundo, Río Tercero, Oncativo, Pilar y Laguna Larga",Productor Lucamaría,https://www.instagram.com/productoralucamaria/?hl=es-la,,,,351 226-5403,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Córdoba,,Valle de Punilla,Huerta Las Abejas,https://www.instagram.com/huerta_las_abejas/,,,,,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Córdoba,,"Villa Allende, Zona Norte, Sierras Chicas hasta Unquillo",Mascabo Organico,https://www.instagram.com/mascaborganicos/,,,,3512410852,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Orgánico","Verduras, Frutas, Elaborados",,
Argentina,Córdoba,,Villa General Belgrano,All Natural VGB,https://www.instagram.com/allnaturalvgb/?hl=es-la,,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Córdoba,,"Villa General Belgrano, Valle de Calambuchita",Feria Agroecológica VGB,https://www.instagram.com/feriaagroecologicavgb/?hl=es-la,,,,,,Abastecedor,,Solo Retiro,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Córdoba,,Villa María,De La Pacha Huerto,https://www.instagram.com/delapachahuerto/,,,,,,Productor,,Retiro y Entrega,Sin agroquímicos,"Elaborados, Plantas medicinales",,
Argentina,Corrientes,,,Subtropical Vivarium,https://www.instagram.com/subtropical_vivarium/,,,,,,Productor,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Verduras, Frutas, Elaborados",⚠️ Vivarium - revisar,
Argentina,Corrientes,,,Naturveda Corrientes,https://www.instagram.com/naturvedacorrientes/,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Elaborados, Verduras",,
Argentina,Corrientes,,,Kefir Skinny,https://www.instagram.com/kefirskinny/,,,,,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Sustentable","Elaborados, Lácteos",,
Argentina,Entre Ríos,,Guleguaychu,Skinny Waffles Gualeguaychu,https://www.instagram.com/skinnywafflesgualeguaychu/?hl=es-la,,,,,,Restaurante,Abastecedor,Retiro y Entrega,Sin agroquímicos,Elaborados,⚠️ Waffles - puede ser solo Restaurante,
Argentina,Entre Ríos,,Paraná,Alimenta Paraná,https://www.instagram.com/alimentaparana/?hl=es-la,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Jujuy,,,Agroholon,https://www.instagram.com/agroholon/?hl=es-la,,,,,,Productor,Abastecedor,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas",,
Argentina,La Pampa,,Toay,Verde Lechuza - huerta agroecológica,https://www.instagram.com/verdelechuza/?hl=es-la,,,,,Plantines agroecológicos y eventualmente frutas y verduras,Productor,,Solo Retiro,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas",,
Argentina,La Pampa,,"Santa Rosa, Toay, Gral Acha",Pampa Fresca,https://www.instagram.com/pampa.fresca/?hl=en,,,,2954225018,Hacen envíos,Productor,Abastecedor,Solo Entrega,Sin agroquímicos,"Verduras, Frutas",,
Argentina,La Pampa,,Santa Rosa,Alora Saludable,https://www.instagram.com/alora.saludable/,,,,2954 809359,Hacen envíos,Abastecedor,,Solo Entrega,"Sin agroquímicos, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,La Pampa,,Santa Rosa,Brote Popular,https://www.instagram.com/brotepopular/?hl=en,,,,,Se retira en la zona del hospital Lucio Molas,Productor,,Solo Retiro,Sin agroquímicos,"Verduras, Frutas",,
Argentina,Mendoza,,Gran Mendoza,Kale Agroecológicos,https://www.instagram.com/kaleagroecologicos/?hl=es-la,,,,,,Productor,Abastecedor,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas",,
Argentina,Mendoza,,Mendoza Capital,Vida Feria,https://www.instagram.com/vidaferiacano/?hl=es-la,,,,,,Abastecedor,,Solo Retiro,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Mendoza,,Mendoza Ciudad y Gran Mendoza,Reparto Alegría,https://www.instagram.com/reparto_alegria/?hl=es-la,,https://linktr.ee/repartoalegria,,,,Abastecedor,,Solo Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Mendoza,,"Rivadavia, San Martin y Junín, Godoy Cruz, Maipú, Lujan, Las Heras, Guaymallen",Wanka Saludable,https://www.instagram.com/wankasaludable/?hl=es-la,,,,261 525-6270,,Abastecedor,,Solo Entrega,"Sin agroquímicos, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Mendoza,,,Mistica Natural,https://www.instagram.com/misticanatural.arg/?hl=es-la,,https://linktr.ee/misticanatural.arg,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Elaborados, Verduras, Frutas",,
Argentina,Mendoza,,,Divina Naturaleza - finca dina,https://www.instagram.com/finca.dina/?hl=es-la,,,,261 699-9814,,Productor,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Verduras, Frutas",,
Argentina,Mendoza,,,Bio Feria,https://www.instagram.com/bioferia.mendoza/?hl=es-la,,,,,,Abastecedor,,Solo Retiro,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Misiones,,Oberá,Granja La Lechuza,https://www.instagram.com/granjalalechuza/?hl=es-la,https://granjalalechuza.com/,,,,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas, Huevos",,
Argentina,Misiones,,Posadas,Yvy Tierra Almacen,https://www.instagram.com/yvytierra.almacen/,,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas, Elaborados",,
Argentina,Neuquén,,Contralmirante Cordero,Janus,https://www.instagram.com/janusbio/?hl=es,,,,2995711049,,Productor,Abastecedor,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas",,
Argentina,Neuquén,,San Martín de los Andes,"Egaleco, Canasta agroecológica",https://www.instagram.com/egalecosma/?hl=es-la,,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Neuquén,,,Huerta Organica Flor Dorada,https://www.instagram.com/huertaorganicaflordorada/?hl=es-la,https://madmimi.com/s/9a8e611,,,,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Orgánico","Verduras, Frutas",,
Argentina,Río Negro,,Bariloche,Mercado Comunitario Bariloche,https://www.instagram.com/mercado.comunitario.bariloche/?hl=es-la,,,,,,Abastecedor,,Solo Retiro,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Río Negro,,"El Bolsón, Bariloche",Huerta Amaranthus,https://www.instagram.com/huerta.amarantus/,,,,,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Río Negro,,El Bolsón y alrededores,Chacra Rizoma,https://www.instagram.com/chacrarizoma/,,,,2944 597984,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Río Negro,,Contralmirante Cordero,Janus Bio,https://www.instagram.com/janusbio/?hl=es-la,,,,,,Productor,Abastecedor,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas",,
Argentina,Río Negro,,Trevelin,Tierra Caracol,https://www.instagram.com/caracoltierra/?hl=es-la,,,,,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Río Negro,,Trevelin,Vive la Huerta Trevelin,https://www.instagram.com/vive_la_huerta__trevelin/?hl=es-la,,,,,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Río Negro,,"Viedma, Carmen de Patagones",Colectivo Agroecologico,https://www.instagram.com/colectivoagroecologico/?hl=es-la,,,,,,Abastecedor,Productor,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas",,
Argentina,San Juan,,Albardón,Granja Tía Nora,https://www.instagram.com/granjatianora/?hl=es-la,,,,2644365391,,Productor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas, Huevos",,
Argentina,San Luis,,San Luis Capital,La Huertita SL,https://www.instagram.com/lahuertitasl/?hl=es-la,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,San Luis,,,Red Viva San Luis,,,,,266 457 4533,Contacto: Cecilia,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Santa Fé,,Arroyo Seco y zona,El Campito Huerta,https://www.instagram.com/el.campito.huerta/,,,,3402 552-723,,Productor,Abastecedor,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Santa Fé,,Esperanza,Broagroecológico,https://www.instagram.com/broagroecologico/,,,,3496400062,,Abastecedor,Productor,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Santa Fé,,Hughes,Benjamín Santiago,https://www.instagram.com/samtiago.moru/,,,,542473-46-9103,,Productor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas",,
Argentina,Santa Fé,,"Rosario, Funes, Roldán",Dulces del Jardín,https://www.instagram.com/dulcesdeljardinenfunes/,https://dulcesdeljardin.mitiendanube.com/,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Elaborados, Verduras, Frutas",,
Argentina,Santa Fé,,Rosario,Suelo Común,https://www.instagram.com/latiendadesuelocomun/?hl=es,,,,,,Abastecedor,,Solo Retiro,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Santa Fé,,"Rosario, Granadero Baigorria",Trabajo en Tierra Viva,https://www.instagram.com/trabajotierraviva/?hl=es,https://trabajoentierraviva.mitiendanube.com/,,,,,Productor,Abastecedor,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas",,
Argentina,Santa Fé,,Rosario,Biodemarg,https://www.instagram.com/biodemarg/?hl=es-la,,,,,,Abastecedor,,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas, Elaborados",,
Argentina,Santa Fé,,"Rosario y Gran Rosario, Villa Gobernador Galvez, El Trebol, San Lorenzo, Casilla I, Firmat, Alvear, Entre Rios, etc.",Vitalia Almacen Natural,https://www.instagram.com/vitalia_almacennatural/?hl=es,https://vitalia.com.ar/,,,341 509-0914,,Abastecedor,,Solo Entrega,"Sin agroquímicos, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Santa Fé,,Santa Fé Capital,Feria Agroecológica Santa Fé,https://www.instagram.com/feriaagroecologicasf/,,,,,,Abastecedor,,Solo Retiro,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Santa Fé,,Santa Fé Capital,Verdecita 2020,https://www.instagram.com/verdecita2020/,,,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Santa Fé,,Santa Fé Capital,La Huerta Delivery,https://www.instagram.com/la_huerta_delivery/,,,,342 549-9608,,Abastecedor,,Solo Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas",,
Argentina,Santa Fé,,Santa Fé Capital,Establecimiento la Quinta,https://www.instagram.com/establecimientolaquinta/,,,,,,Productor,Abastecedor,Retiro y Entrega,Sin agroquímicos,"Verduras, Frutas",,
Argentina,Santa Fé,,Santa Fé Capital,Tierra Noble,https://www.instagram.com/tierranoble.ok/,,https://linktr.ee/Tierranoble.sf,,,,Abastecedor,,Retiro y Entrega,"Sin agroquímicos, Agroecológico","Verduras, Frutas, Elaborados",,
Argentina,Santa Fé,,Santa Fé Capital,Cosecha Agroecológica,https://www.instagram.com/cosecha_agroecologica/,,,,,Puesto N°22 en la plaza Pueyrredón. Sábados 8 a 13hs,Abastecedor,,Solo Retiro,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Santa Fé,,Santa fé Capital y la costa,Amma 100 Agroecología,https://www.instagram.com/amma100agroecologica/?hl=es-la,,,,3425008482/3498400808,,Abastecedor,Productor,Retiro y Entrega,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas, Elaborados",,
Argentina,Tucumán,,Yerba Buena,Mercadito Agroecológico Tucuman,https://www.instagram.com/mercaditoagroecologicotuc/,,,,,,Abastecedor,,Solo Retiro,"Sin agroquímicos, Agroecológico, Sustentable","Verduras, Frutas, Elaborados",,